#OTUId	62.AVI372_T	07.AVI413	54.AVI323_1	26.AVI335	40.AVI446_TA	66.AVI404_T	29.AVI420_T	41.AVI471_T	15.AVI440	63.AVI372_TA	68.AVI448_1	39.AVI446_T	02.AVI383	57.AVI352_2	36.AVI429_2	49.AVI355	03.AVI403	37.AVI434_T	65.AVI376_TA	21.AVI340	01.AVI369	70.AVI406_T	59.AVI354_2	58.AVI354_1	46.AVI332	60.AVI362_T	64.AVI376_T	55.AVI323_2	47.AVI349	11.AVI433	44.AVI327	33.AVI427_1	30.AVI420_TA	28.AVI390_2	48.AVI353	25.AVI334	24.AVI333	35.AVI429_1	69.AVI448_2	32.AVI422_TA	31.AVI422_T	45.AVI328	34.AVI427_2	12.AVI436	20.AVI339	38.AVI434_TA	16.AVI470	27.AVI390_1	19.AVI338	67.AVI409_T	13.AVI438	04.AVI408	14.AVI439	61.AVI362_TA	08.AVI414	56.AVI352_1	taxonomy
OTU_1727	50	99	1590	170	381	165	76	56	41	55	160	851	221	143	88	378	75	470	374	407	125	591	486	59	309	295	447	461	767	50	1024	59	45	284	331	392	234	75	81	37	99	653	72	383	229	488	50	132	300	49	85	97	102	370	173	143	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_42	89	37	1354	349	204	282	22	187	30	70	84	412	80	103	87	210	37	455	116	143	256	109	142	54	154	277	87	915	551	58	81	74	27	183	295	249	322	88	58	53	79	256	137	163	214	247	30	248	210	101	67	179	61	354	76	65	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Clostridium IV;
OTU_109	20	54	130	115	25	58	47	12	22	26	54	62	101	22	44	81	47	7	3	58	97	40	72	43	180	76	16	56	19	26	57	10	30	22	16	58	62	35	57	24	76	37	30	148	158	4	45	26	20	6	47	132	41	32	17	14	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_1531	61	9	8	12	28	29	179	20	23	98	13	27	43	48	49	24	0	0	2	216	760	12	44	117	10	33	2	18	5	42	17	76	192	45	0	30	64	46	15	1	5	12	46	30	1	11	54	45	1	0	90	141	29	9	9	66	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_40	71	59	130	123	81	45	83	226	41	44	97	73	57	81	298	332	10	98	77	157	193	238	241	294	687	47	90	147	15	56	44	82	87	273	24	42	292	342	174	38	75	51	165	140	128	77	120	413	255	78	75	176	68	70	95	71	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_55	110	169	616	496	165	286	217	118	131	77	276	224	312	283	258	168	254	46	85	254	728	180	215	205	679	727	244	319	334	86	856	116	371	174	154	482	402	231	215	99	183	372	154	273	673	72	244	431	157	76	94	371	109	473	123	184	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_53	27	37	1034	66	273	544	133	48	388	34	243	251	229	393	54	223	32	39	65	50	123	95	928	141	72	316	120	1039	193	149	857	79	431	143	213	171	248	69	208	56	109	319	173	123	347	411	103	54	304	280	145	97	450	196	30	96	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_37	56	85	196	85	155	72	101	37	85	86	475	201	231	330	725	324	25	5	61	381	290	132	265	508	381	161	74	300	241	158	285	51	170	171	10	83	84	339	332	261	286	1079	82	101	445	19	135	235	77	44	151	210	54	119	132	394	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_415	77	71	1119	584	56	193	115	129	45	62	145	123	317	153	163	269	248	16	16	190	507	97	153	150	423	145	79	472	226	83	198	60	235	139	77	369	296	119	111	37	143	254	82	150	668	36	207	253	59	41	83	521	140	122	134	107	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_103	842	7	27	0	0	0	0	0	66	1044	0	0	1	3	1	0	7	0	10	0	4	0	3	2	0	1	12	53	2	26	0	0	1	0	5	0	0	0	0	0	1	0	1	114	0	0	29	0	7	0	4	10	24	0	1	0	Bacteria;Firmicutes;Clostridia;Clostridiales;;;
OTU_26	951	199	546	30	287	168	134	413	640	827	194	1625	153	92	123	49	24	362	330	79	9	416	137	102	38	510	230	921	32	160	35	185	152	172	203	47	37	282	151	148	138	30	252	309	397	404	21	57	215	28	67	200	225	2362	24	85	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;
OTU_12	282	687	40	157	10	1	51	23	8	467	171	40	104	1295	1148	1150	1	37	9	287	283	136	284	794	129	14	18	46	19	599	35	60	36	552	34	15	95	261	67	260	199	3074	39	77	23	106	163	1726	10	65	16	354	12	6	189	1156	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_50	328	261	152	152	25	23	238	95	86	336	287	109	17	54	20	80	59	10	15	149	138	230	21	58	81	12	12	129	232	17	50	91	127	50	1	8	42	111	206	13	40	28	28	34	395	48	152	58	20	85	110	1287	41	14	31	69	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_1196	121	269	13	37	1	2	10	5	1	190	59	3	37	568	491	449	0	23	2	104	106	56	114	307	55	0	5	11	0	181	4	20	23	254	12	0	45	76	32	83	82	1291	14	29	7	51	73	700	0	45	3	84	5	0	35	522	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_56	309	1021	17	87	23	15	48	3	100	326	29	16	27	202	402	214	181	3	24	84	311	65	52	74	66	4	10	11	17	33	155	323	76	7	0	20	148	469	34	317	415	297	658	129	61	3	20	12	89	146	163	611	308	2	141	285	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_1322	107	340	2	37	1	2	0	0	27	105	0	2	1	76	142	59	35	0	2	23	64	2	5	5	24	0	3	0	4	0	35	102	0	2	1	3	20	145	1	57	64	122	213	0	26	0	0	4	0	46	37	209	99	0	46	94	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
